MJJCLBGC_00001	COG0527	[E] Aspartokinases     
MJJCLBGC_01119	ROG4598	
MJJCLBGC_01120	COG0687	[E] Spermidine/putrescine-binding periplasmic protein   
MJJCLBGC_01121	COG1177	[E] ABC-type spermidine/putrescine transport system, permease component
MJJCLBGC_01122	COG1176	[E] ABC-type spermidine/putrescine transport system, permease component
MJJCLBGC_01123	COG3842	[E] ABC-type spermidine/putrescine transport systems, ATPase components
MJJCLBGC_01124	COG2195	[E] Di- and tripeptidases   
MJJCLBGC_01125	COG2850	[S] Uncharacterized conserved protein   
MJJCLBGC_01126	COG2205	[T] Osmosensitive K+ channel histidine kinase 
MJJCLBGC_01127	COG0745	[TK] Response regulators consisting of a CheY-like
MJJCLBGC_01128	COG0015	[F] Adenylosuccinate lyase    
MJJCLBGC_01129	COG2915	[R] Uncharacterized protein involved in purine metabolism
MJJCLBGC_01130	COG0482	[J] Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop
MJJCLBGC_01131	COG1051	[F] ADP-ribose pyrophosphatase    
MJJCLBGC_01132	COG1187	[J] 16S rRNA uridine-516 pseudouridylate synthase and
MJJCLBGC_01133	COG0538	[C] Isocitrate dehydrogenases    
MJJCLBGC_01135	ROG6902	
MJJCLBGC_01141	COG2932	[K] Predicted transcriptional regulator   
MJJCLBGC_01145	COG4626	[R] Phage terminase-like protein, large subunit 
MJJCLBGC_01147	COG4695	[S] Phage-related protein    
MJJCLBGC_01148	COG3299	[S] Uncharacterized homolog of phage Mu protein
MJJCLBGC_01149	COG3778	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01153	COG5301	[R] Phage-related tail fibre protein  
MJJCLBGC_01154	COG1961	[L] Site-specific recombinases, DNA invertase Pin homologs
MJJCLBGC_01155	COG1403	[V] Restriction endonuclease    
MJJCLBGC_01156	COG0538	[C] Isocitrate dehydrogenases    
MJJCLBGC_01157	COG5562	[R] Phage envelope protein   
MJJCLBGC_01158	COG0789	[K] Predicted transcriptional regulators   
MJJCLBGC_01159	ROG0024	
MJJCLBGC_01162	ROG8327	
MJJCLBGC_01163	COG2200	[T] FOG: EAL domain   
MJJCLBGC_01164	ROG7340	
MJJCLBGC_01165	COG3468	[MU] Type V secretory pathway, adhesin AidA
MJJCLBGC_01166	COG3468	[MU] Type V secretory pathway, adhesin AidA
MJJCLBGC_01168	ROG6708	
MJJCLBGC_01169	COG0851	[D] Septum formation topological specificity factor 
MJJCLBGC_01170	COG2894	[D] Septum formation inhibitor-activating ATPase  
MJJCLBGC_01171	COG0850	[D] Septum formation inhibitor   
MJJCLBGC_01173	ROG8156	
MJJCLBGC_01174	COG3100	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01175	COG0179	[Q] 2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)
MJJCLBGC_01176	COG2983	[S] Uncharacterized conserved protein   
MJJCLBGC_01177	ROG5138	
MJJCLBGC_01178	COG1974	[KT] SOS-response transcriptional repressors (RecA-mediated autopeptidases) 
MJJCLBGC_01179	COG0389	[L] Nucleotidyltransferase/DNA polymerase involved in DNA repair
MJJCLBGC_01180	COG1495	[O] Disulfide bond formation protein DsbB 
MJJCLBGC_01181	COG3067	[P] Na+/H+ antiporter    
MJJCLBGC_01182	COG2186	[K] Transcriptional regulators    
MJJCLBGC_01183	COG2719	[S] Uncharacterized conserved protein   
MJJCLBGC_01184	COG0665	[E] Glycine/D-amino acid oxidases (deaminating)  
MJJCLBGC_01185	COG0787	[M] Alanine racemase    
MJJCLBGC_01186	COG3263	[P] NhaP-type Na+/H+ and K+/H+ antiporters with
MJJCLBGC_01187	COG1619	[V] Uncharacterized proteins, homologs of microcin C7
MJJCLBGC_01188	COG0741	[M] Soluble lytic murein transglycosylase and related
MJJCLBGC_01189	COG5581	[M] Predicted glycosyltransferase    
MJJCLBGC_01190	COG2261	[S] Predicted membrane protein   
MJJCLBGC_01192	COG1626	[G] Neutral trehalase    
MJJCLBGC_01193	COG3412	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01194	COG2376	[G] Dihydroxyacetone kinase    
MJJCLBGC_01195	COG2376	[G] Dihydroxyacetone kinase    
MJJCLBGC_01196	COG3284	[QK] Transcriptional activator of acetoin/glycerol metabolism 
MJJCLBGC_01197	COG3468	[MU] Type V secretory pathway, adhesin AidA
MJJCLBGC_01199	COG0012	[J] Predicted GTPase, probable translation factor 
MJJCLBGC_01200	COG0193	[J] Peptidyl-tRNA hydrolase    
MJJCLBGC_01202	COG0659	[P] Sulfate permease and related transporters (MFS
MJJCLBGC_01203	COG0462	[FE] Phosphoribosylpyrophosphate synthetase    
MJJCLBGC_01204	COG1947	[I] 4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate synthase   
MJJCLBGC_01205	COG3017	[M] Outer membrane lipoprotein involved in outer
MJJCLBGC_01206	COG0373	[H] Glutamyl-tRNA reductase    
MJJCLBGC_01207	COG0216	[J] Protein chain release factor A 
MJJCLBGC_01208	COG2890	[J] Methylase of polypeptide chain release factors
MJJCLBGC_01209	COG3094	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01210	COG2912	[S] Uncharacterized conserved protein   
MJJCLBGC_01211	COG2877	[M] 3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase 
MJJCLBGC_01215	COG0387	[P] Ca2+/H+ antiporter    
MJJCLBGC_01216	COG4572	[R] Putative cation transport regulator  
MJJCLBGC_01217	COG3703	[P] Uncharacterized protein involved in cation transport
MJJCLBGC_01218	COG1553	[P] Uncharacterized conserved protein involved in intracellular
MJJCLBGC_01219	ROG3089	
MJJCLBGC_01220	COG2197	[TK] Response regulator containing a CheY-like receiver
MJJCLBGC_01221	COG3850	[T] Signal transduction histidine kinase, nitrate/nitrite-specific 
MJJCLBGC_01223	COG2223	[P] Nitrate/nitrite transporter    
MJJCLBGC_01224	COG5013	[C] Nitrate reductase alpha subunit  
MJJCLBGC_01225	COG1140	[C] Nitrate reductase beta subunit  
MJJCLBGC_01226	COG2180	[C] Nitrate reductase delta subunit  
MJJCLBGC_01227	COG2181	[C] Nitrate reductase gamma subunit  
MJJCLBGC_01230	COG0788	[F] Formyltetrahydrofolate hydrolase    
MJJCLBGC_01231	COG3012	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01232	COG1752	[R] Predicted esterase of the alpha-beta hydrolase
MJJCLBGC_01233	COG2204	[T] Response regulator containing CheY-like receiver, AAA-type
MJJCLBGC_01234	COG1210	[M] UDP-glucose pyrophosphorylase    
MJJCLBGC_01235	COG2916	[R] DNA-binding protein H-NS   
MJJCLBGC_01236	COG1435	[F] Thymidine kinase    
MJJCLBGC_01239	COG1454	[C] Alcohol dehydrogenase, class IV  
MJJCLBGC_01240	COG2095	[U] Multiple antibiotic transporter   
MJJCLBGC_01242	COG3039	[L] Transposase and inactivated derivatives, IS5 family
MJJCLBGC_01243	COG4166	[E] ABC-type oligopeptide transport system, periplasmic component
MJJCLBGC_01244	COG0601	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_01245	COG1173	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_01246	COG0444	[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
MJJCLBGC_01247	COG4608	[E] ABC-type oligopeptide transport system, ATPase component
MJJCLBGC_01248	COG3099	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01249	COG1502	[I] Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases and related enzymes 
MJJCLBGC_01250	COG1226	[P] Kef-type K+ transport systems, predicted NAD-binding
MJJCLBGC_01251	COG2350	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01252	COG0810	[M] Periplasmic protein TonB, links inner and
MJJCLBGC_01253	COG1607	[I] Acyl-CoA hydrolase    
MJJCLBGC_01254	COG2917	[D] Intracellular septation protein A  
MJJCLBGC_01255	ROG3022	
MJJCLBGC_01256	COG3047	[M] Outer membrane protein W  
MJJCLBGC_01257	COG3685	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01258	COG3685	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01259	COG3729	[R] General stress protein   
MJJCLBGC_01260	COG0159	[E] Tryptophan synthase alpha chain  
MJJCLBGC_01261	COG0133	[E] Tryptophan synthase beta chain  
MJJCLBGC_01262	COG0134	[E] Indole-3-glycerol phosphate synthase   
MJJCLBGC_01263	COG0547	[E] Anthranilate phosphoribosyltransferase    
MJJCLBGC_01264	COG0147	[EH] Anthranilate/para-aminobenzoate synthases component I  
MJJCLBGC_01265	COG0613	[R] Predicted metal-dependent phosphoesterases (PHP family) 
MJJCLBGC_01266	COG0009	[J] Putative translation factor (SUA5)  
MJJCLBGC_01267	ROG1462	
MJJCLBGC_01268	COG1187	[J] 16S rRNA uridine-516 pseudouridylate synthase and
MJJCLBGC_01269	COG2109	[H] ATP:corrinoid adenosyltransferase    
MJJCLBGC_01270	COG0300	[R] Short-chain dehydrogenases of various substrate specificities
MJJCLBGC_01271	COG0616	[OU] Periplasmic serine proteases (ClpP class) 
MJJCLBGC_01273	COG0550	[L] Topoisomerase IA    
MJJCLBGC_01274	COG0583	[K] Transcriptional regulator    
MJJCLBGC_01275	COG0392	[S] Predicted integral membrane protein  
MJJCLBGC_01278	COG1048	[C] Aconitase A    
MJJCLBGC_01279	COG0807	[H] GTP cyclohydrolase II   
MJJCLBGC_01280	COG0671	[I] Membrane-associated phospholipid phosphatase   
MJJCLBGC_01281	COG3771	[S] Predicted membrane protein   
MJJCLBGC_01282	COG2956	[G] Predicted N-acetylglucosaminyl transferase   
MJJCLBGC_01283	COG0284	[F] Orotidine-5'-phosphate decarboxylase    
MJJCLBGC_01284	COG0023	[J] Translation initiation factor 1 (eIF-1/SUI1) and
MJJCLBGC_01285	ROG6708	
MJJCLBGC_01286	COG1349	[KG] Transcriptional regulators of sugar metabolism 
MJJCLBGC_01288	COG2200	[T] FOG: EAL domain   
MJJCLBGC_01289	COG4776	[K] Exoribonuclease II    
MJJCLBGC_01290	COG4950	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01291	COG0623	[I] Enoyl-[acyl-carrier-protein] reductase (NADH)   
MJJCLBGC_01292	COG4167	[V] ABC-type antimicrobial peptide transport system, ATPase
MJJCLBGC_01293	COG4170	[V] ABC-type antimicrobial peptide transport system, ATPase
MJJCLBGC_01294	COG4171	[V] ABC-type antimicrobial peptide transport system, permease
MJJCLBGC_01295	COG4168	[V] ABC-type antimicrobial peptide transport system, permease
MJJCLBGC_01296	COG0747	[E] ABC-type dipeptide transport system, periplasmic component
MJJCLBGC_01298	COG0531	[E] Amino acid transporters   
MJJCLBGC_01299	COG0174	[E] Glutamine synthetase    
MJJCLBGC_01300	COG2071	[R] Predicted glutamine amidotransferases   
MJJCLBGC_01301	COG1396	[K] Predicted transcriptional regulators   
MJJCLBGC_01302	COG1012	[C] NAD-dependent aldehyde dehydrogenases   
MJJCLBGC_01303	COG0665	[E] Glycine/D-amino acid oxidases (deaminating)  
MJJCLBGC_01304	COG0160	[E] 4-aminobutyrate aminotransferase and related aminotransferases 
MJJCLBGC_01305	COG1221	[KT] Transcriptional regulators containing an AAA-type ATPase
MJJCLBGC_01306	COG1842	[KT] Phage shock protein A (IM30), suppresses
MJJCLBGC_01307	ROG0730	
MJJCLBGC_01308	COG1983	[KT] Putative stress-responsive transcriptional regulator  
MJJCLBGC_01310	COG0607	[P] Rhodanese-related sulfurtransferase    
MJJCLBGC_01311	COG0366	[G] Glycosidases     
MJJCLBGC_01312	COG1653	[G] ABC-type sugar transport system, periplasmic component
MJJCLBGC_01313	COG1175	[G] ABC-type sugar transport systems, permease components
MJJCLBGC_01314	COG0395	[G] ABC-type sugar transport system, permease component
MJJCLBGC_01315	COG1063	[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases
MJJCLBGC_01316	COG1082	[G] Sugar phosphate isomerases/epimerases   
MJJCLBGC_01317	COG0673	[R] Predicted dehydrogenases and related proteins 
MJJCLBGC_01318	COG1554	[G] Trehalose and maltose hydrolases (possible phosphorylases)
MJJCLBGC_01319	COG0637	[R] Predicted phosphatase/phosphohexomutase    
MJJCLBGC_01320	COG3839	[G] ABC-type sugar transport systems, ATPase components
MJJCLBGC_01321	ROG0333	
MJJCLBGC_01322	COG1609	[K] Transcriptional regulators    
MJJCLBGC_01323	COG3106	[R] Predicted ATPase    
MJJCLBGC_01324	COG3768	[S] Predicted membrane protein   
MJJCLBGC_01325	COG3283	[KE] Transcriptional regulator of aromatic amino acids
MJJCLBGC_01326	COG2077	[O] Peroxiredoxin     
MJJCLBGC_01327	COG4948	[MR] L-alanine-DL-glutamate epimerase and related enzymes of
MJJCLBGC_01328	COG2866	[E] Predicted carboxypeptidase    
MJJCLBGC_01329	COG0702	[MG] Predicted nucleoside-diphosphate-sugar epimerases   
MJJCLBGC_01330	COG1073	[R] Hydrolases of the alpha/beta superfamily 
MJJCLBGC_01331	COG0583	[K] Transcriptional regulator    
MJJCLBGC_01332	COG4166	[E] ABC-type oligopeptide transport system, periplasmic component
MJJCLBGC_01333	COG0668	[M] Small-conductance mechanosensitive channel   
MJJCLBGC_01334	COG3039	[L] Transposase and inactivated derivatives, IS5 family
MJJCLBGC_01335	COG0601	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_01336	COG0589	[T] Universal stress protein UspA and related
MJJCLBGC_01337	COG0664	[T] cAMP-binding proteins - catabolite gene activator
MJJCLBGC_01338	COG0350	[L] Methylated DNA-protein cysteine methyltransferase  
MJJCLBGC_01339	COG2978	[H] Putative p-aminobenzoyl-glutamate transporter   
MJJCLBGC_01340	COG0624	[E] Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
MJJCLBGC_01341	COG1473	[R] Metal-dependent amidase/aminoacylase/carboxypeptidase    
MJJCLBGC_01342	COG0583	[K] Transcriptional regulator    
MJJCLBGC_01343	COG2840	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01344	COG2199	[T] FOG: GGDEF domain   
MJJCLBGC_01345	COG0598	[P] Mg2+ and Co2+ transporters  
MJJCLBGC_01347	COG0513	[LKJ] Superfamily II DNA and RNA helicases
MJJCLBGC_01348	COG0037	[D] Predicted ATPase of the PP-loop superfamily
MJJCLBGC_01349	COG0582	[L] Integrase     
MJJCLBGC_01352	COG3723	[L] Recombinational DNA repair protein (RecE pathway)
MJJCLBGC_01353	ROG6166	
MJJCLBGC_01357	ROG1432	
MJJCLBGC_01359	ROG3250	
MJJCLBGC_01360	ROG0229	
MJJCLBGC_01361	COG4197	[S] Uncharacterized protein conserved in bacteria, prophage-related
MJJCLBGC_01363	COG3756	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01364	COG1484	[L] DNA replication protein   
MJJCLBGC_01365	ROG5980	
MJJCLBGC_01367	COG0168	[P] Trk-type K+ transport systems, membrane components
MJJCLBGC_01368	ROG8515	
MJJCLBGC_01370	COG5281	[S] Phage-related minor tail protein  
MJJCLBGC_01371	COG3039	[L] Transposase and inactivated derivatives, IS5 family
MJJCLBGC_01373	COG5301	[R] Phage-related tail fibre protein  
MJJCLBGC_01375	COG1961	[L] Site-specific recombinases, DNA invertase Pin homologs
MJJCLBGC_01376	ROG5360	
MJJCLBGC_01377	COG0589	[T] Universal stress protein UspA and related
MJJCLBGC_01378	COG3203	[M] Outer membrane protein (porin)  
MJJCLBGC_01379	COG0674	[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,
MJJCLBGC_01380	COG3042	[R] Putative hemolysin    
MJJCLBGC_01381	COG3187	[O] Heat shock protein   
MJJCLBGC_01382	COG1052	[CHR] Lactate dehydrogenase and related dehydrogenases 
MJJCLBGC_01383	ROG3879	
MJJCLBGC_01384	ROG0130	
MJJCLBGC_01385	COG3784	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01386	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_01387	COG1012	[C] NAD-dependent aldehyde dehydrogenases   
MJJCLBGC_01388	COG3733	[Q] Cu2+-containing amine oxidase   
MJJCLBGC_01389	COG2030	[I] Acyl dehydratase    
MJJCLBGC_01390	COG3396	[S] Uncharacterized conserved protein   
MJJCLBGC_01391	COG3460	[Q] Uncharacterized enzyme of phenylacetate metabolism 
MJJCLBGC_01392	COG3396	[S] Uncharacterized conserved protein   
MJJCLBGC_01393	COG2151	[R] Predicted metal-sulfur cluster biosynthetic enzyme 
MJJCLBGC_01394	COG1018	[C] Flavodoxin reductases (ferredoxin-NADPH reductases) family 1
MJJCLBGC_01395	COG1024	[I] Enoyl-CoA hydratase/carnithine racemase   
MJJCLBGC_01396	COG1024	[I] Enoyl-CoA hydratase/carnithine racemase   
MJJCLBGC_01397	COG1250	[I] 3-hydroxyacyl-CoA dehydrogenase    
MJJCLBGC_01398	COG2050	[Q] Uncharacterized protein, possibly involved in aromatic
MJJCLBGC_01399	COG0183	[I] Acetyl-CoA acetyltransferase    
MJJCLBGC_01400	COG1541	[H] Coenzyme F390 synthetase   
MJJCLBGC_01401	COG3327	[K] Phenylacetic acid-responsive transcriptional repressor  
MJJCLBGC_01402	COG0663	[R] Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily 
MJJCLBGC_01403	ROG0140	
MJJCLBGC_01404	COG2801	[L] Transposase and inactivated derivatives  
MJJCLBGC_01405	COG2963	[L] Transposase and inactivated derivatives  
MJJCLBGC_01406	COG2826	[L] Transposase and inactivated derivatives, IS30 family
MJJCLBGC_01408	COG0667	[C] Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)
MJJCLBGC_01410	COG0558	[I] Phosphatidylglycerophosphate synthase    
MJJCLBGC_01411	COG4589	[R] Predicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferase  
MJJCLBGC_01412	COG2267	[I] Lysophospholipase     
MJJCLBGC_01413	COG0671	[I] Membrane-associated phospholipid phosphatase   
MJJCLBGC_01414	COG1182	[I] Acyl carrier protein phosphodiesterase  
MJJCLBGC_01415	COG1643	[L] HrpA-like helicases    
MJJCLBGC_01416	COG1434	[S] Uncharacterized conserved protein   
MJJCLBGC_01417	COG1012	[C] NAD-dependent aldehyde dehydrogenases   
MJJCLBGC_01418	COG0057	[G] Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase   
MJJCLBGC_01419	COG0057	[G] Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase   
MJJCLBGC_01420	COG0057	[G] Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase   
MJJCLBGC_01421	COG3038	[C] Cytochrome B561    
MJJCLBGC_01424	COG0840	[NT] Methyl-accepting chemotaxis protein   
MJJCLBGC_01425	COG0583	[K] Transcriptional regulator    
MJJCLBGC_01426	COG5383	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01427	COG3131	[P] Periplasmic glucans biosynthesis protein  
MJJCLBGC_01428	COG2841	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01429	COG1670	[J] Acetyltransferases, including N-acetylases of ribosomal proteins
MJJCLBGC_01430	ROG3573	
MJJCLBGC_01431	COG1275	[P] Tellurite resistance protein and related permeases
MJJCLBGC_01432	COG0500	[QR] SAM-dependent methyltransferases    
MJJCLBGC_01433	ROG4587	
MJJCLBGC_01434	COG1943	[L] Transposase and inactivated derivatives  
MJJCLBGC_01435	COG0675	[L] Transposase and inactivated derivatives  
MJJCLBGC_01436	COG3135	[Q] Uncharacterized protein involved in benzoate metabolism
MJJCLBGC_01437	COG1396	[K] Predicted transcriptional regulators   
MJJCLBGC_01438	COG0826	[O] Collagenase and related proteases  
MJJCLBGC_01440	ROG8027	
MJJCLBGC_01441	COG1598	[S] Uncharacterized conserved protein   
MJJCLBGC_01442	COG1167	[KE] Transcriptional regulators containing a DNA-binding HTH
MJJCLBGC_01443	COG0687	[E] Spermidine/putrescine-binding periplasmic protein   
MJJCLBGC_01444	COG3842	[E] ABC-type spermidine/putrescine transport systems, ATPase components
MJJCLBGC_01445	COG1176	[E] ABC-type spermidine/putrescine transport system, permease component
MJJCLBGC_01446	COG1177	[E] ABC-type spermidine/putrescine transport system, permease component
MJJCLBGC_01447	COG1012	[C] NAD-dependent aldehyde dehydrogenases   
MJJCLBGC_01450	COG3238	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01451	COG1247	[M] Sortase and related acyltransferases  
MJJCLBGC_01452	COG2130	[R] Putative NADP-dependent oxidoreductases   
MJJCLBGC_01453	COG1802	[K] Transcriptional regulators    
MJJCLBGC_01454	COG1629	[P] Outer membrane receptor proteins, mostly Fe
MJJCLBGC_01455	COG3391	[S] Uncharacterized conserved protein   
MJJCLBGC_01456	COG1113	[E] Gamma-aminobutyrate permease and related permeases 
MJJCLBGC_01459	COG3209	[M] Rhs family protein   
MJJCLBGC_01460	ROG8282	
MJJCLBGC_01461	COG5433	[L] Transposase     
MJJCLBGC_01462	COG5433	[L] Transposase     
MJJCLBGC_01463	COG1942	[R] Uncharacterized protein, 4-oxalocrotonate tautomerase homolog 
MJJCLBGC_01464	COG1853	[R] Conserved protein/domain typically associated with flavoprotein
MJJCLBGC_01465	COG2162	[Q] Arylamine N-acetyltransferase    
MJJCLBGC_01466	COG0384	[R] Predicted epimerase, PhzC/PhzF homolog  
MJJCLBGC_01467	COG2181	[C] Nitrate reductase gamma subunit  
MJJCLBGC_01468	COG2180	[C] Nitrate reductase delta subunit  
MJJCLBGC_01469	COG1140	[C] Nitrate reductase beta subunit  
MJJCLBGC_01470	COG5013	[C] Nitrate reductase alpha subunit  
MJJCLBGC_01471	COG2223	[P] Nitrate/nitrite transporter    
MJJCLBGC_01472	ROG4550	
MJJCLBGC_01473	COG4886	[S] Leucine-rich repeat (LRR) protein  
MJJCLBGC_01474	COG3203	[M] Outer membrane protein (porin)  
MJJCLBGC_01475	COG0697	[GER] Permeases of the drug/metabolite transporter (DMT)
MJJCLBGC_01476	COG0243	[C] Anaerobic dehydrogenases, typically selenocysteine-containing  
MJJCLBGC_01477	COG0243	[C] Anaerobic dehydrogenases, typically selenocysteine-containing  
MJJCLBGC_01478	COG0437	[C] Fe-S-cluster-containing hydrogenase components 1  
MJJCLBGC_01479	COG2864	[C] Cytochrome b subunit of formate dehydrogenase
MJJCLBGC_01480	COG3093	[R] Plasmid maintenance system antidote protein 
MJJCLBGC_01481	COG1064	[R] Zn-dependent alcohol dehydrogenases   
MJJCLBGC_01482	COG0281	[C] Malic enzyme    
MJJCLBGC_01484	ROG0864	
MJJCLBGC_01485	COG1764	[O] Predicted redox protein, regulator of disulfide
MJJCLBGC_01486	COG1124	[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
MJJCLBGC_01487	COG1123	[R] ATPase components of various ABC-type transport
MJJCLBGC_01488	COG1173	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_01489	COG0601	[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
MJJCLBGC_01490	COG0747	[E] ABC-type dipeptide transport system, periplasmic component
MJJCLBGC_01491	COG2173	[M] D-alanyl-D-alanine dipeptidase    
MJJCLBGC_01492	COG2200	[T] FOG: EAL domain   
MJJCLBGC_01493	COG2199	[T] FOG: GGDEF domain   
MJJCLBGC_01494	COG1649	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_01495	COG0531	[E] Amino acid transporters   
MJJCLBGC_01496	COG0076	[E] Glutamate decarboxylase and related PLP-dependent proteins
MJJCLBGC_01497	COG0612	[R] Predicted Zn-dependent peptidases   
MJJCLBGC_01498	ROG2295	
MJJCLBGC_01499	COG4178	[R] ABC-type uncharacterized transport system, permease and
MJJCLBGC_01500	COG0641	[R] Arylsulfatase regulator (Fe-S oxidoreductase)  
MJJCLBGC_01501	COG3119	[P] Arylsulfatase A and related enzymes 
MJJCLBGC_01502	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_01504	COG0243	[C] Anaerobic dehydrogenases, typically selenocysteine-containing  
MJJCLBGC_01505	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_01506	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_01507	COG3539	[NU] P pilus assembly protein, pilin FimA
MJJCLBGC_01508	COG3188	[NU] P pilus assembly protein, porin PapC
MJJCLBGC_01509	COG3550	[R] Uncharacterized protein related to capsule biosynthesis
MJJCLBGC_01510	ROG6392	
MJJCLBGC_01511	COG3468	[MU] Type V secretory pathway, adhesin AidA
MJJCLBGC_01513	COG1070	[G] Sugar (pentulose and hexulose) kinases 
MJJCLBGC_01514	COG2390	[K] Transcriptional regulator, contains sigma factor-related N-terminal
MJJCLBGC_01515	COG1129	[G] ABC-type sugar transport system, ATPase component
MJJCLBGC_01516	COG1172	[G] Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
MJJCLBGC_01517	COG1172	[G] Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
MJJCLBGC_01518	COG1879	[G] ABC-type sugar transport system, periplasmic component
MJJCLBGC_01519	COG1830	[G] DhnA-type fructose-1,6-bisphosphate aldolase and related enzymes
MJJCLBGC_01520	COG1359	[S] Uncharacterized conserved protein   
MJJCLBGC_01521	COG4106	[R] Trans-aconitate methyltransferase    
MJJCLBGC_01522	COG3781	[S] Predicted membrane protein   
MJJCLBGC_01523	COG0246	[G] Mannitol-1-phosphate/altronate dehydrogenases    
MJJCLBGC_01524	COG2199	[T] FOG: GGDEF domain   
MJJCLBGC_01525	ROG2377	
MJJCLBGC_01526	COG2066	[E] Glutaminase     
MJJCLBGC_01527	COG1012	[C] NAD-dependent aldehyde dehydrogenases   
MJJCLBGC_01528	COG0583	[K] Transcriptional regulator    
MJJCLBGC_01530	COG2814	[G] Arabinose efflux permease   
MJJCLBGC_01531	COG2095	[U] Multiple antibiotic transporter   
MJJCLBGC_01532	COG1846	[K] Transcriptional regulators    
MJJCLBGC_01533	COG2207	[K] AraC-type DNA-binding domain-containing proteins  
MJJCLBGC_01535	COG0697	[GER] Permeases of the drug/metabolite transporter (DMT)
MJJCLBGC_01536	ROG2472	
MJJCLBGC_01538	COG3706	[T] Response regulator containing a CheY-like receiver
MJJCLBGC_01539	COG3111	[S] Uncharacterized conserved protein   
MJJCLBGC_01540	COG1546	[R] Uncharacterized protein (competence- and mitomycin-induced) 
MJJCLBGC_01541	COG0339	[E] Zn-dependent oligopeptidases    
MJJCLBGC_01542	COG4221	[R] Short-chain alcohol dehydrogenase of unknown specificity
MJJCLBGC_01543	COG1802	[K] Transcriptional regulators    
MJJCLBGC_01545	COG0246	[G] Mannitol-1-phosphate/altronate dehydrogenases    
MJJCLBGC_01546	COG0477	[GEPR] Permeases of the major facilitator superfamily
MJJCLBGC_01548	COG1961	[L] Site-specific recombinases, DNA invertase Pin homologs
MJJCLBGC_01551	COG4220	[L] Phage DNA packaging protein, Nu1 subunit
MJJCLBGC_01552	COG5562	[R] Phage envelope protein   
MJJCLBGC_01554	COG1278	[K] Cold shock proteins   
MJJCLBGC_01556	COG3772	[R] Phage-related lysozyme (muraminidase)   
MJJCLBGC_01560	COG1278	[K] Cold shock proteins   
MJJCLBGC_01561	COG1278	[K] Cold shock proteins   
MJJCLBGC_01563	ROG3846	
MJJCLBGC_01566	COG2026	[JD] Cytotoxic translational repressor of toxin-antitoxin stability
MJJCLBGC_01567	COG3077	[L] DNA-damage-inducible protein J   
MJJCLBGC_01568	ROG3559	
MJJCLBGC_01572	COG2932	[K] Predicted transcriptional regulator   
